3DEACAF4   BF718B16
3F49F6EB   3F1C1EBE
3ED67A56   BF68D9B6
BF7AE4EE   BE53089E
3CAF1060   3F7FEEDD
3F789FE0   BE7CAE8A
BEE84984   BF64B8F0
BF44E21E   3F22B8D7
3F49F615   3F1C1623
3EDA8836   BF678E18
BF797D45   BE65BEFA
BBF519C0   3F7FCC85
3F7AE11A   BE56C054
BED32E0D   BF6A0FA0
BF4DA87F   3F18159E
3F40089F   3F2871A0
3EFA8B0B   BF5F33A2
BF73E314   BE9A24B0
BDC68A74   3F7E520A
3F7EC364   BDE43614
BE9F8356   BF7422B1
BF5E329A   3EFE9768
3F29C7F2   3F3F32ED
3F19B51E   BF4CC746
BF6695DE   BEDD33BD
BE7AD3FA   3F777FAA
3F7FBDDF   3D4806CC
BE15BB48   BF7DFA8F
BF716C59   3EABB9FD
3F035F97   3F5B9ABA
3F3E88B2   BF2B4909
BF4BAA57   BF1AE3AC
BEE2D855   3F64AAD5
3F7675E7   3E889D83
3DACB548   BF7F9D32
BF7EF5DA   3DCFDD54
3E926730   3F754E40
3F63E7C7   BEEAA302
BF1C220A   BF4AFD22
BF2B214C   3F3D7D48
3F5964E4   3F064B5E
3EBC4222   BF6E6550
BF7B2914   BE4B9199
BCAB6E40   3F7FF21E
3F7D3A7D   BE1FCF6E
BEA58035   BF72953F
BF60314A   3EF51FFF
3F1F2184   3F47C30D
3F2AA4B2   BF3EF790
BF58BC52   BF08AF86
BEC44688   3F6C69E1
3F79E041   3E6413EE
3D762C20   BF8000A4
BF7E67F6   3DD14A08
3E863AF8   3F765F52
3F68F71B   BED3D2B4
BF0D4B4B   BF55BBD8
BF3C731C   3F2D377C
3F494406   3F1E7CBA
3EFAB86E   BF5FCFD5
BF6FDBCA   BEB2F4EC
BE4DABC2   3F7A2824
3F7F68B0   3D4CA840
BDC9FEF0   BF7EF032
BF782E51   3E7B3E6A
3EC70CD6   3F6BE904
3F5AF0DA   BF0598F4
BF23A07E   BF452F72
BF2B021F   3F3DD6A9
3F548648   3F0DEFD6
3EDDFCFE   BF66D0F2
BF73FBA8   BE9BB0E0
BE2A48A7   3F7C669E
3F8020E4   3CD81080
BDE15A30   BF7ED56C
BF7809E0   3E786B68
3EBDFE9A   3F6D1F7A
3F5EED6B   BEFBA32B
BF19D1E6   BF4CE602
BF36BF43   3F33419E
3F49F693   3F1D95BB
3F0284C9   BF5CB66E
BF6AE3BE   BECB35E8
BE8E1DCD   3F755572
3F7CA4EE   3E1FF2C8
3D10F0A8   BF800E28
BF7F298E   3DB0D728
3E5562AC   3F7A68BC
3F7268F0   BEA682AA
BEDDBA91   BF66E0AC
BF57EC75   3F089E94
3F20DDFA   3F469F20
3F3382AB   BF36D354
BF49D730   BF1DF852
BF05DFF4   3F5A370C
3F680325   3ED8E242
3EA55319   BF727B0D
BF7970F2   BE61359A
BDE99E48   3F7DD25A
3F8005EC   3C08A340
BDC2EA00   BF7F4B5A
BF7B1758   3E4A6526
3E98D50C   3F743BEB
3F6B6DBD   BEC974D2
BEF61806   BF606719
BF531130   3F101C6A
3F2448A6   3F442594
3F33F574   BF36B49E
BF46B616   BF21F4A2
BF0E2BB2   3F54B618
3F6100FA   3EF37B88
3ECAA3F2   BF6B1912
BF72DF14   BEA0A53D
BE6993B4   3F790526
3F7DB2E6   3E111020
3D686B80   BF800975
BF7FDE34   3CE2EE86
3DE4B2BC   3F7E011C
3F7B1937   BE44E574
BE899923   BF76A56F
BF704CB8   3EB00F68
3ED6237E   3F689AEA
3F5FE2DE   BEF9EBD4
BF0D2998   BF55BD93
BF4A3B09   3F1C4A7A
3F2AC8B5   3F3E3C5C
3F320A2C   BF382746
BF441CAA   BF24E1E4
BF167A22   3F4F1D43
3F5939A0   3F07AB5C
3EF2197E   BF61C602
BF68AE5E   BED46F17
BEB5E057   3F6ED3F0
3F748F87   3E977589
3E730F52   BF79205A
BF7C1958   BE36135E
BDF01934   3F7E14BE
3F7F7F0D   3D71E5F4
3B8F9200   BF7FFA25
BF7F7012   3D4C1300
3DD72518   3F7E757E
3F7D1DFE   BE228AFD
BE562BB0   BF7AB776
BF772A97   3E840A8A
3E9C7C70   3F735BC5
3F6FB631   BEB374A0
BEC8E300   BF6B981E
BF66A28E   3EDE1FCD
3EF35007   3F6159BA
3F5C0A3F   BF03662F
BF0C00CB   BF5652CB
BF50343A   3F14369F
3F1C73AA   3F4A53D2
3F44C184   BF243640
BF2B3404   BF3EBB90
BF381530   3F31D8EE
3F383D12   3F319E53
3F2BC0C0   BF3DDC73
BF42BDAE   BF25F035
BF1FDC04   3F47A37E
3F4CB3E4   3F19F406
3F145F01   BF5126D0
BF54ABF7   BF0EA9C2
BF08DD96   3F57EB37
3F5B460C   3F03AC88
3EFE538A   BF5E50BE
BF60E0A7   BEF518BA
BEEB267C   3F6366F8
3F65E695   3EE1E564
3EDA1446   BF67C7E4
BF690DCA   BED2C135
BECB773A   3F6A826E
3F6C5A72   3EC506CC
3EBF8070   BF6DDC30
BF6EB305   BEB9D384
BEB4139A   3F6F6A92
3F704C78   3EAFBA3F
3EAD04CA   BF70F520
BF71540C   BEAA6D5C
BEA75AF3   3F71E462
3F729A92   3EA4FE8B
3EA3F568   BF72CA3A
BF726823   BEA36B94
BEA32251   3F7239F6
3F727E2E   3EA3F3EA
3EA5C96E   BF728E1A
BF7218A4   BEA7696C
BEA8D9B3   3F719039
3F71206C   3EAB9D0B
3EB00C88   BF70628A
BF6F5A03   BEB4C211
BEB9212B   3F6E900A
3F6DF457   3EBE274C
3EC442C8   BF6CCB29
BF6AF6FD   BECAABF3
BED15616   3F692F72
3F67B684   3ED93424
3EE21AB6   BF65FAD3
BF63B804   BEEAAC3F
BEF2D1F8   3F614F34
3F5ECD6E   3EFC02EB
3F035533   BF5BC087
BF58383E   BF08C4BF
BF0E07A7   3F54CD38
3F517444   3F138602
3F195946   BF4D6BDE
BF488626   BF1F17AE
BF24CB60   3F436701
3F3E4D70   3F2AFAF8
3F318D68   BF38BDA6
BF328932   BF37C52C
BF3D82BA   3F2C0C20
3F253B52   3F436FC8
3F49C128   BF1D967E
BF15341B   BF4FE8EF
BF55A99F   3F0CBD1F
3F0435D4   3F5B5979
3F60F15A   BEF5CAE8
BEE12FE8   BF65F69D
BF6A78DE   3ECBBF26
3EB5EC4E   3F6F0926
3F7390FF   BE9EEE5F
BE86A9D5   BF774B28
BF7A0487   3E5BDF32
3E292F3A   3F7C4E3E
3F7E540B   BDE649AA
BD68DCB0   BF7F97FE
BF7FEF37   3AAC1600
BD5BE570   3F7FAA3E
3F7EA92D   3DE264E8
3E2DF44B   BF7C6067
BF78E1FB   BE6B11E0
BE93D5AA   3F74CC87
3F701994   3EB275BE
3ED1300C   BF6A0F5E
BF62781A   BEEEF83A
BF05F213   3F59D664
3F505352   3F147EDA
3F22FC79   BF458B34
BF3979DA   BF309CD8
BF3D21F0   3F2C8648
3F1E93D4   3F490454
3F54563F   BF0F1AD4
BEFC7E60   BF5E9042
BF6783BA   3ED97DDD
3EB57C07   3F6F6FB6
3F761A29   BE8F60A3
BE4E0030   BF7AE60C
BF7DDAB5   3DF5EB74
3D1A33D6   3F7F874F
3F7FD6AE   3D405700
3E0807EC   BF7E0B0A
BF79EB11   BE5ED7D0
BE9A375B   3F73E9A1
3F6C201A   3EC540A8
3EF005C6   BF622D50
BF561A01   BF0C60D1
BF1F6587   3F485204
3F38B8B4   3F316620
3F4250DE   BF26D052
BF12CDCF   BF518A83
BF5ED7EE   3EFAFB98
3ECE2EEB   3F6A6082
3F73CC65   BE9E6097
BE575BFA   BF7A6ACF
BF7E37E4   3DDDA348
3B8D3580   3F7FB610
3F7EC7BC   3DD03470
3E550990   BF7AB4A7
BF734CF8   BE9FA516
BED31A76   3F6904CA
3F5BFA14   3F02B660
3F1AE34B   BF4BE509
BF38F592   BF311101
BF44CBC6   3F23BAAC
3F0C395E   3F5640EC
3F653AC5   BEE441E8
BEABB789   BF710ECC
BF797FBD   3E61A993
3DD1E79B   3F7EAEE0
3F801F66   3C9A11C8
3E119E56   BF7D8926
BF76A302   BE874B50
BEC40A5C   3F6C2CEB
3F5E3263   3EFEAF8C
3F1AEFE1   BF4C37BC
BF3652C6   BF33D3AB
BF49B412   3F1D3948
3F0150B8   3F5CB4B2
3F6C5540   BEC55C59
BE83D7EB   BF779192
BF7E01C8   3DFFF2E4
BC2D50A0   3F7FE27E
3F7D1C94   3E1869AC
3E92C423   BF754392
BF686FE4   BED66564
BF0ACA96   3F571ECA
3F415760   3F27FD36
3F423240   BF26ECA6
BF087E1E   BF586558
BF6A0854   3ECE788A
3E8795E2   3F76EF14
3F7E7F5E   BDF29F24
3D06E620   BF7FF43F
BF7B5456   BE3CCC62
BEAA1BF2   3F712FD6
3F618D85   3EF2C77E
3F1B1F54   BF4C1139
BF3110AC   BF38F1D4
BF523E34   3F118DA6
3EDC884B   3F66D41D
3F75EB07   BE8F65FB
BDF747B0   BF7E5D18
BF7FC3DD   BD2B2510
BE50F820   3F7A6D30
3F6E646C   3EBA3199
3F03E9FD   BF5B7E50
BF422F8C   BF26ED21
BF451138   3F23633A
3EFF50B6   3F5DE469
3F70992E   BEAEF77F
BE30CEA3   BF7C19A7
BF7FEBF3   BAAAD700
BE3369AA   3F7C17F0
3F7060CB   3EB111D5
3F020110   BF5C9175
BF41615C   BF2771B9
BF478ADE   3F201D6A
3EF338EE   3F616F79
3F73F734   BE9CEBAF
BE002366   BF7DFB64
BF7F380E   BD7A6F24
BE7BB9B4   3F77F962
3F68249E   3ED8E3D2
3F166760   BF4F85E2
BF2EDFD7   BF3ADFF4
BF58A5FC   3F07C302
3EB719B9   3F6EF229
3F7C8AFA   BE2DD4A4
3CD57430   BF801473
BF798D32   BE627430
BED13FCF   3F69556E
3F4FFCF1   3F152AD8
3F3C1D56   BF2DF7A6
BF0489A4   BF5B3516
BF712744   3EAB2873
3E0B1056   3F7D6FD6
3F7F59C2   3D917970
3E8D85CB   BF762E1D
BF622235   BEF04DDF
BF2451E5   3F443560
3F1D6838   3F49C984
3F66B345   BEDDFAB3
BE6CD65E   BF791A99
BF7FF696   3C9A9C48
BE479062   3F7B1756
3F6A66EC   3ECDEA5E
3F17B690   BF4E2F48
BF27DBB8   BF4134A4
BF614993   3EF315A4
3E8A3B44   3F769581
3F7FC679   BD48A2A0
3E3502B4   BF7BE6E2
BF6B2B41   BEC98F5A
BF1728E2   3F4E9914
3F273173   3F421692
3F6321F2   BEECAC50
BE7AB60A   BF7812B5
BF7FC5A2   3C6AFE20
BE5E4C49   3F79ECCC
3F665750   3EE082B0
3F232551   BF456A8C
BF190903   BF4CF9FC
BF6B5FA2   3EC834E3
3E25B69C   3F7CB56C
3F7F7CCA   3DA15588
3EA22D6B   BF72E524
BF57B89A   BF095F4C
BF39AF6B   3F2FEA0C
3EFB1446   3F5F43B5
3F776434   BE85FA73
BC72A550   BF7FFF42
BF789DB6   BE6F34D0
BEEFBCBE   3F61FD3F
3F3D2078   3F2CD122
3F56EA60   BF0BA416
BEA13DA6   BF72F142
BF7F2B48   3D81B85F
BE45CD9A   3F7B07F0
3F665118   3EE09B4E
3F27E0FE   BF41A26A
BF0F5B25   BF53FE38
BF71C1F4   3EA669BA
3D895ACC   3F7F54A6
3F7B3DDC   3E4A21BE
3EE5FBB4   BF64FE0B
BF3E1152   BF2B4966
BF57898F   3F098944
3E95F145   3F74BCBB
3F801BC0   BCCF09F0
3E7B7678   BF785E6F
BF5DB7BC   BEFF32A2
BF370AE9   3F3289A6
3EF39F92   3F612F16
3F7A4634   BE5D4480
3D7D7150   BF7FA9EC
BF70EB70   BEABC52C
BF157FB1   3F4F778E
3F1D9B2E   3F49D40F
3F6E3118   BEBD5FA4
BDBDA562   BF7F00C0
BF7AED83   BE4564CC
BEED53DA   3F628E39
3F377DB8   3F32B2A6
3F5FFAF0   BEF9435E
BE5B4DD6   BF7A1BF5
BF7EF05A   BD9E4710
BEB9FA68   3F6E49D4
3F491F5E   3F1EAC80
3F52B512   BF11EF35
BE9AEA49   BF73FDDA
BF7FADA0   3BFDD340
BE93D848   3F74EC4D
3F5429E4   3F0FA7D2
3F48865F   BF1F9A16
BEB7E5C6   BF6ED912
BF7F324A   3D7B2980
BE78EA14   3F7834B8
3F59F31A   3F06C7CF
3F42C8C2   BF26819B
BEC56AF2   BF6C1413
BF7ECB66   3DAACC58
BE69035E   3F7939F0
3F5B4AEA   3F049ECC
3F422858   BF272A2E
BEC3F7FD   BF6C55E4
BF7F029C   3D97C8E4
BE785F28   3F785A7E
3F58630F   3F094E1E
3F46B708   BF21A1A5
BEB382AB   BF6F8EB6
BF7F9E8A   3D08F0D0
BE934E8A   3F753868
3F50C9EF   3F148DD1
3F4FEE76   BF157CA6
BE937D26   BF74F6F0
BF7FA29E   BD1E9180
BEB92FE8   3F6EBD85
3F4376BC   3F259B24
3F5C9F8E   BF01EC78
BE462AF4   BF7B04FA
BF7D5016   BE1139AC
BEEC50C1   3F632B9C
3F2EEAC2   3F3B1099
3F6AD4DE   BECBE19B
BD86CC28   BF7F6104
BF7630F4   BE8C2A9A
BF14E9D0   3F504178
3F116FCA   3F52AF52
3F77B2FA   BE81560A
3DC1293C   BF7EE4CA
BF673BDD   BEDBCF12
BF366E46   3F3382D1
3ED2FCE2   3F69291A
3F7F6A40   BD8EBE78
3E908F58   BF75BC6F
BF4D24EF   BF193580
BF56FAAF   3F0AB26A
3E595020   3F7A03C8
3F7D55AF   3E164BDE
3EF9B8E2   BF5FC2EE
BF24F020   BF43CF48
BF715CA0   3EA91361
BCE93D00   3F7FB91C
3F6C6888   3EC56917
3F31289A   BF393457
BED9A5F9   BF67AEA3
BF7F10D7   3D8D4F14
BE98650E   3F743E68
3F480B78   3F20233E
3F5E2853   BEFF8B11
BE1579CE   BF7D2B1F
BF78F028   BE695F39
BF121C4E   3F521AEA
3F0D7990   3F55A6E9
3F7ADB00   BE505012
3E34ED18   BF7BDC1C
BF58920D   BF08136A
BF4F5798   3F161D01
3E76164C   3F78AAD6
3F7D6E33   3E13458E
3F02266B   BF5C5E6D
BF1A6FCE   BF4C1324
BF7779F5   3E830AE0
BE064CD0   3F7DCC28
3F5D8310   3F004D69
3F4BCDE2   BF1AFF34
BE810E34   BF77D38C
BF7D71F4   BE0F5D4F
BF02F9EB   3F5BC176
3F177CFB   3F4E4990
3F7955BC   BE6B92DA
3E2CE472   BF7C87BB
BF573989   BF0A6672
BF53B024   3F0F6A96
3E40EC4C   3F7B5E8B
3F7A4616   3E5D18C8
3F15EF2E   BF4FC4AA
BF02C211   BF5BDDCA
BF7DA87E   3E006B9C
BE90385C   3F75A54A
3F445E85   3F24B46F
3F65B100   BEE2B915
BD2BEDA4   BF7F986D
BF6E06AB   BEBB618B
BF36362C   3F33E000
3EB4CAD2   3F6FAAA0
3F7F90BC   3D781620
3EEE24D5   BF629217
BF1DBE9E   BF499DCC
BF78933D   3E749554
BE3AD60E   3F7B9D00
3F5199BE   3F12F0BE
3F5D02F2   BF0182E6
BDCEC810   BF7ED766
BF7231FA   BEA5029E
BF302870   3F395E1C
3EBC8336   3F6E0436
3F7FE580   3D6C4954
3EF27C37   BF61AD41
BF18F1B2   BF4CFFB9
BF7A75AA   3E4DD8C8
BE6FE892   3F78EF20
3F47DBA4   3F2076EA
3F666115   BEDFBB96
BBFE0DD0   BF7FCE06
BF67D2A0   BED87762
BF458808   3F22EB3E
3E77169E   3F7886CC
3F7A9CCE   3E511844
3F1C48DF   BF4ACA4C
BEE5140A   BF6503C4
BF7FE7C4   3C5A77C0
BED9A684   3F6781B0
3F202030   3F47BA8E
3F7A23CC   BE5EE95E
3E70F612   BF78FE8E
BF447178   BF23CEE8
BF69DC70   3ECEAE04
BD37A0A0   3F7FCB13
3F6026BA   3EF8BE84
3F534710   BF10CB32
BE0A140E   BF7D6F2E
BF71EF2E   BEA619E2
BF371338   3F33078C
3E9AB74E   3F742E44
3F7C97AA   3E26F838
3F1818BB   BF4DE89E
BEE4920C   BF651F18
BF7FEE1C   BC14A340
BEEDB230   3F628820
3F12C56B   3F51BA5C
3F7E0713   BE078035
3EAD7CFD   BF710FB3
BF2DA604   BF3BCD5E
BF76B9CC   3E85FF8C
BE5C94FC   3F7A07C2
3F440C20   3F252716
3F6D4E2B   BEC0C92A
3DCEC9E5   BF7E7DE9
BF54C13E   BF0E0F3E
BF615043   3EF33B2C
3BCC7380   3F800843
3F6260BA   3EEF106A
3F549F7E   BF0EB462
BDC811BA   BF7EE4F4
BF6C24DF   BEC52F6F
BF46E59D   3F20B95A
3E38C81E   3F7BC390
3F73856A   3EA0123D
3F3AD367   BF2F5B31
BE7FA6F8   BF77AA80
BF77B65E   BE7D31C6
BF2F1D87   3F3AC4D8
3E9E28CF   3F73BE4D
3F7B56A8   3E445974
3F253D31   BF436D2C
BEB45999   BF6F91CC
BF7D2D3C   BE1740D4
BF1C8C0E   3F4A5F51
3EC6D542   3F6BD584
3F7E8552   3DED1CEE
3F171859   BF4EF9E9
BED2D6E5   BF691E1D
BF7E83FE   BDBDB2C0
BF12FAC8   3F518A74
3EDA4066   3F67EDC0
3F7F5736   3DA6BFC0
3F11959F   BF526A37
BEDA7BA2   BF675D8D
BF7F21D4   BDA8BF88
BF1213B2   3F523050
3ED7C624   3F6815AB
3F7EFDB2   3DC2EB7A
3F16010F   BF4FC3E8
BECE794A   BF6A2DC4
BF7DDD20   BDEF0470
BF1B1F91   3F4B7B4A
3EC05F8B   3F6D9460
3F7D56F5   3E1A97C7
3F22E37D   BF4559EA
BEAB15B2   BF7111B4
BF7AFA43   BE497920
BF2C33DB   3F3D6FCC
3E925AE0   3F754085
3F77C70D   3E818C40
3F380D77   BF325231
BE63B800   BF799631
BF726722   BEA24858
BF43E542   3F247983
3E17A7B0   3F7D7270
3F6BD4A6   3EC8D221
3F511B69   BF139782
BD732800   BF7F59F4
BF613F10   BEF32B00
BF5DFF62   3EFEEA8B
BD15E160   3F7FB932
3F53BCD2   3F10082A
3F6ACECA   BECD9229
3E170ECE   BF7D46A2
BF41C7E9   BF26B90C
BF7499F0   3E9521D3
BE8820C8   3F76FCE9
3F2C121F   3F3DF66E
3F7C6FB4   BE2A6583
3EC8ED51   BF6B5723
BF1009BA   BF53A2B8
BF7FD1FC   3CE4ABB0
BF048A8D   3F5AC47C
3EDEFCE7   3F668004
3F7E6175   3E0037F8
3F254E7E   BF43B217
BE92DB7A   BF74E68C
BF752269   BE91611B
BF435B58   3F2598B8
3DFA9888   3F7E4843
3F653CB0   3EE3FFCD
3F5DC94A   BEFFE27F
3D7D50D8   BF7FA31E
BF4C2CC7   BF1A32CB
BF715126   3EA8AE46
BE809226   3F77C570
3F2A55B2   3F3FAADE
3F7DE800   BE09FC9A
3EE2ACED   BF654DE8
BEFCC2F5   BF5E5FED
BF7F405C   BD9DE4C0
BF1F7122   3F48403E
3E96E9E5   3F748D5E
3F74A438   3E984B0F
3F491E76   BF1EE9E8
BD8AA69C   BF7F48E2
BF5BC2FD   BF0269A5
BF688154   3ED5BBE0
BE310AD6   3F7C718A
3F360F08   3F343684
3F7BCE36   BE37B758
3ED575D8   BF68C210
BF01D4BA   BF5CA851
BF7EE5CA   BDA0DE30
BF234DE8   3F44D101
3E855577   3F777508
3F70B4C8   3EB0D537
3F530EF1   BF10D214
3C948FA0   BF7FAA02
BF4DBC2A   BF1838D9
BF736318   3E9EBEC1
BE9A7054   3F73EF46
3F18BD47   3F4D89DF
3F803172   BC654160
3F12ECCF   BF51CFA6
BEA6FD56   BF7192E8
BF748E92   BE95229B
BF4C7073   3F1A4FD0
3C8AD630   3F801343
3F50DAF4   3F140B08
3F7338C1   BEA09ECC
3E9EB4BA   BF7397CE
BF14F054   BF4FEAB6
BF7F8127   BC805D50
BF1BD6F8   3F4B21FA
3E8C993D   3F769ACA
3F6F6EF2   3EB616AF
3F585A22   BF089FB4
3DA4CE08   BF7F2DB5
BF3FEA9E   BF295BD1
BF7A684E   3E4E149F
BEDC76E6   3F66E26A
3EEB393C   3F63DBEA
3F7C9456   3E3023D4
3F3BD3FD   BF2DB428
BDBDC998   BF7E9F14
BF590006   BF07CA76
BF6F9732   3EB3DD64
BE960341   3F7492A5
3F13A8AA   3F5168AC
3F801F24   3D354178
3F259534   BF433A08
BE507A3A   BF7A2BA2
BF65991B   BEE1A64B
BF665038   3EE00FA1
BE56FB38   3F7A42FC
3F232B02   3F455226
3F802BB8   BCB924A8
3F19FBE9   BF4CBE63
BE819598   BF773504
BF69DB85   BECE4CB8
BF62ADA0   3EEE8664
BE3F542C   3F7BB190
3F262FED   3F42B863
3F800DB8   BCE6E120
3F1AC88F   BF4C4358
BE783DCB   BF7813FC
BF67A0BC   BED76AF1
BF660278   3EE0BEA9
BE662154   3F79D4A3
3F1D1640   3F4A4425
3F7FEF1D   3CDF7170
3F27C52C   BF41B03F
BE2ECE2E   BF7C2B30
BF5E1605   BEFC6208
BF6F125A   3EB5CE7F
BEA4A23E   3F72D3F2
3F066A54   3F5A35C2
3F7D4F4C   3E12E618
3F3ED03B   BF2AD8CB
BD12EA18   BF7FE9DD
BF49D996   BF1CB4CC
BF79E6F1   3E561528
BEF0C0AC   3F6242C4
3EBF1660   3F6DFF30
3F72D58C   3EA228FF
3F5B43C2   BF041D85
3E250534   BF7CCC83
BF25B61B   BF42BD8D
BF7F70D4   BB3EE880
BF276632   3F41CA7E
3E18CD8E   3F7DB002
3F58B5B6   3F0891F6
3F75017A   BE93DA80
3ED15D47   BF69C62A
BED8B6BA   BF67CC7A
BF758D54   BE8C7BFB
BF56EA43   3F0AC8C8
BE13DFA6   3F7DD8D6
3F266586   3F42F6B2
3F7FE0F8   3C8FFAA6
3F2D0458   BF3CD7A4
BDDBD040   BF7E8DBA
BF507149   BF13A5B4
BF790993   3E65F620
BEF602B0   3F60F610
3EAC55BB   3F718888
3F6CC939   3EC281CE
3F66EEB6   BEDD7570
3E8F9241   BF75EB1C
BF069B7C   BF59366E
BF7B319E   BE384A48
BF4B7AAB   3F1BA41A
BDAA1F42   3F7F9A3E
3F2E0A86   3F3BD03C
3F800F0B   BB7AC380
3F2C4CBF   BF3DCBC5
BDBE3500   BF7E9A42
BF4AF5CD   BF1ACBEE
BF7C1292   3E30EAB2
BF0A801B   3F57CD8E
3E7F5B12   3F77FFC2
3F60AF00   3EF5ECB7
3F738C20   BEA10200
3ED588D2   BF689F5C
BEC0B5E2   BF6C58A2
BF6E9C9C   BEB7BE41
BF66B137   3EDF39E0
BE99EA46   3F742D13
3EF76188   3F603B22
3F7844BE   3E822AB4
3F59B3D4   BF072DBE
3E51ADB8   BF79E8B6
BF104E8C   BF52E7F8
BF7CC7B4   BE2459EC
BF4C45B2   3F1A090C
BDFC4CAC   3F7DF8AE
3F20F2B6   3F48015E
3F7F83F9   3DB91856
3F420A76   BF265B11
3D84B098   BF7F0C80
BF2BD003   BF3DC806
BF7F7200   BD11D630
BF39B995   3F2FA4E8
BCA98FC0   3F804938
3F3360C9   3F37B3D0
3F7FDF1B   3BFA5300
3F35F4DA   BF33D346
37D3A000   BF800CA2
BF359E77   BF33A195
BF7F43E6   3BA8FC40
BF347488   3F3612E8
3BA98FC0   3F805AC7
3F352303   3F34FA58
3F8014AE   3BFBAEE0
3F376991   BF333696
3C7BDEC0   BF7F787C
BF2FDA5E   BF38B495
BF7FDBFA   BD077578
BF3C5EA6   3F2DEE1B
BD586D40   3F7F93D0
3F282A2E   3F41935E
3F7FFB34   3DAB83E8
3F45A2C1   BF226BD0
3DED4C28   BF7D6326
BF1B38F6   BF4B5B73
BF7D2276   BE16AEA0
BF506955   3F13C2E8
BE4592C5   3F7B8CD1
3F0AAD9E   3F588994
3F78DC15   3E737277
3F5E52A4   BEFC2334
3E954962   BF74F8BB
BEE60E96   BF644CEB
BF6FA304   BEADDFE1
BF6B3F56   3EC9BE0F
BECC73CC   3F6BB5E6
3EAC4A82   3F71556E
3F62E697   3EEDB219
3F77A96A   BE8785EF
3F060859   BF59E69F
BE44F830   BF79EDAE
BF4E7846   BF16B298
BF7E6FEA   3DF4C1A8
BF26216F   3F425D17
3CF39E80   3F801A74
3F335207   3F389D20
3F7FDED4   3D706A10
3F472B0E   BF1F9C56
3E212C8A   BF7CB0FA
BF0D11C1   BF554514
BF76CC7F   BE7D2329
BF63109A   3EEC0E3C
BEB37D21   3F7115A2
3EBBC805   3F6E9C2C
3F63F1D4   3EE96265
3F789B71   BE815AE2
3F0D1816   BF556608
BE0E43C2   BF7BE741
BF425118   BF25DCF8
BF801FEE   3CC1A484
BF3B9EB1   3F2D828D
BDE19CF4   3F7ED614
3F13A414   3F534DF4
3F79056A   3E74BB84
3F637F86   BEE72DE1
